type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.80856,144.97429,Victoria's Secret Bar & Cafe,Part Ground 80 Victoria Parade EAST MELBOURNE VIC 3002,Outdoor,80,"-37.84659, 144.98028",549-551 St Kilda Road MELBOURNE VIC 3004,724,108649,108649,Melbourne
Cafes and Restaurants,-37.81787,144.95544,Viet Boy 1996,Ground 585 Little Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,12,"-37.84685, 144.98038",553 St Kilda Road MELBOURNE VIC 3004,724,108650,108650,Melbourne
Cafes and Restaurants,-37.81219,144.96695,Westlake Restaurant,189-191 Little Bourke Street MELBOURNE VIC 3000,Indoor,200,"-37.83949, 144.97768",439-445 St Kilda Road MELBOURNE VIC 3004,759,108632,108632,Melbourne
Cafes and Restaurants,-37.81068,144.96573,Where's Marcel?,Part Ground 180 Lonsdale Street MELBOURNE VIC 3000,Indoor,36,"-37.84459, 144.97929",517 St Kilda Road MELBOURNE VIC 3004,760,108645,108645,Melbourne
"Pubs, Taverns and Bars",-37.81011,144.96716,Whisky and Alement,Ground 270 Russell Street MELBOURNE VIC 3000,Indoor,45,"-37.84459, 144.97929",517 St Kilda Road MELBOURNE VIC 3004,760,108645,108645,Melbourne
Cafes and Restaurants,-37.80169,144.96723,Ziyka Restaurant,234-236 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,50,"-37.82952, 144.98128",Royal Botanic Gardens Victoria Birdwood Avenue MELBOURNE VIC 3004,852,101100,101100,Melbourne
Cafes and Restaurants,-37.81479,144.95531,Hibachi,228-230 King Street MELBOURNE VIC 3000,Indoor,100,"-37.79356, 144.94671",243-251 Flemington Road NORTH MELBOURNE VIC 3051,303,103859,103859,North Melbourne
Cafes and Restaurants,-37.81542,144.95361,Higher Ground,"Shop 101T, LwrGround 650 Little Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,120,"-37.79823, 144.9467",38-48 Haines Street NORTH MELBOURNE VIC 3051,326,104588,104588,North Melbourne
Cafes and Restaurants,-37.80544,144.95413,Himalaya Restaurant,364-366 Victoria Street NORTH MELBOURNE VIC 3051,Indoor,200,"-37.79823, 144.9467",38-48 Haines Street NORTH MELBOURNE VIC 3051,326,104588,104588,North Melbourne
Takeaway Food Services,-37.79677,144.96121,Ho Ho's Canteen,"Shop 35, Ground Union House Building 130 230 Grattan Street PARKVILLE VIC 3010",Indoor & Outdoor,18,"-37.79873, 144.94651",340-348 Abbotsford Street NORTH MELBOURNE VIC 3051,327,100112,100112,North Melbourne
Cafes and Restaurants,-37.81095,144.97183,Hochi Mama,Ground 35 Little Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,16,"-37.80253, 144.94714",610 Queensberry Street NORTH MELBOURNE VIC 3051,333,107975,107975,North Melbourne
Cafes and Restaurants,-37.81175,144.9694,Hofbrauhaus Restaurant,Ground 18 Market Lane MELBOURNE VIC 3000,Indoor,201,"-37.80257, 144.94754",594 Queensberry Street NORTH MELBOURNE VIC 3051,333,107981,107981,North Melbourne
Cafes and Restaurants,-37.81134,144.96796,Home Kitchen & Bar,Restaurant Level 1 222 Russell Street MELBOURNE VIC 3000,Indoor,80,"-37.80227, 144.94446",688 Queensberry Street NORTH MELBOURNE VIC 3051,335,107955,107955,North Melbourne
Cafes and Restaurants,-37.8202,144.95147,Home Vegan Bar / Home Juice and Salad Bar,"Shop 4, 699 Collins Street DOCKLANDS VIC 3008",Indoor,30,"-37.80488, 144.94898",1-5 Errol Street NORTH MELBOURNE VIC 3051,345,103392,103392,North Melbourne
Takeaway Food Services,-37.80904,144.95957,Hongkongboi,"Shop 2, 155 Franklin Street MELBOURNE VIC 3000",Indoor,10,"-37.8048, 144.94901",7 Errol Street NORTH MELBOURNE VIC 3051,345,103393,103393,North Melbourne
Cafes and Restaurants,-37.82484,144.94748,Hooks At The Yarra,50 River Esplanade DOCKLANDS VIC 3008,Indoor & Outdoor,60,"-37.80475, 144.949",9 Errol Street NORTH MELBOURNE VIC 3051,345,103394,103394,North Melbourne
Cafes and Restaurants,-37.81553,144.96434,Hopetoun Tea Rooms,"Shop 1-2, 282-284 Collins Street MELBOURNE VIC 3000",Indoor,52,"-37.80413, 144.94879",33 Errol Street NORTH MELBOURNE VIC 3051,345,103402,103402,North Melbourne
Cafes and Restaurants,-37.82072,144.9663,Hophaus,"Restaurant 5, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Indoor & Outdoor,120,"-37.80391, 144.94907",47 Errol Street NORTH MELBOURNE VIC 3051,345,103407,103407,North Melbourne
Cafes and Restaurants,-37.82092,144.96337,Hopscotch,"Shop 4, 4 Riverside Quay SOUTHBANK VIC 3006",Indoor & Outdoor,200,"-37.80346, 144.94908",69-71 Errol Street NORTH MELBOURNE VIC 3051,345,103415,103415,North Melbourne
Cafes and Restaurants,-37.81356,144.95975,Ho's Cafe,"Shop 1, Ground 221 Queen Street MELBOURNE VIC 3000",Indoor,30,"-37.80475, 144.94871",520-528 Victoria Street NORTH MELBOURNE VIC 3051,345,570824,570824,North Melbourne
"Pubs, Taverns and Bars",-37.80449,144.96451,Hotel Lincoln,Lincoln Hotel 91 Cardigan Street CARLTON VIC 3053,Indoor & Outdoor,32,"-37.80261, 144.94941",97 Errol Street NORTH MELBOURNE VIC 3051,346,103424,103424,North Melbourne
"Pubs, Taverns and Bars",-37.80957,144.94925,Hotel Spencer Bar & Grill,Ground 475 Spencer Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,12,"-37.80261, 144.94941",97 Errol Street NORTH MELBOURNE VIC 3051,346,103424,103424,North Melbourne
Cafes and Restaurants,-37.8135,144.95482,House Blend,"Shop 3, 280 King Street MELBOURNE VIC 3000",Indoor & Outdoor,24,"-37.80246, 144.94946",103-107 Errol Street NORTH MELBOURNE VIC 3051,346,103426,103426,North Melbourne
Cafes and Restaurants,-37.82577,144.96116,House of Cards,Part Ground 207 City Road SOUTHBANK VIC 3006,Indoor,28,"-37.80271, 144.94848",566-574 Queensberry Street NORTH MELBOURNE VIC 3051,346,107986,107986,North Melbourne
Takeaway Food Services,-37.79677,144.96121,House Of Cards Espresso,Adjacent Ground OId Metallurgy Building 166 230 Grattan Street PARKVILLE VIC 3010,Outdoor,20,"-37.80271, 144.94848",566-574 Queensberry Street NORTH MELBOURNE VIC 3051,346,107986,107986,North Melbourne
"Pubs, Taverns and Bars",-37.81181,144.96515,House of Correction,Level 4 264 Swanston Street MELBOURNE VIC 3000,Indoor,50,"-37.80116, 144.94964",Limerick Castle Hotel & Restaurant 161-163 Errol Street NORTH MELBOURNE VIC 3051,347,110920,110920,North Melbourne
Cafes and Restaurants,-37.81392,144.95431,House Of Kebabs,Part Ground 269-271 King Street MELBOURNE VIC 3000,Indoor,21,"-37.79508, 144.94842",193 Flemington Road NORTH MELBOURNE VIC 3051,353,103842,103842,North Melbourne
Cafes and Restaurants,-37.81372,144.97371,Howitt House,Kiosk Lobby 1 Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,12,"-37.80436, 144.94973",34 Errol Street NORTH MELBOURNE VIC 3051,354,103520,103520,North Melbourne
Cafes and Restaurants,-37.81988,144.95649,HUANG JIN PTY LTD,22 Katherine Place MELBOURNE VIC 3000,Indoor,34,"-37.80436, 144.94973",34 Errol Street NORTH MELBOURNE VIC 3051,354,103520,103520,North Melbourne
Cafes and Restaurants,-37.81929,144.9592,Hudson's Coffee,"Shop 3-4, 15 William Street MELBOURNE VIC 3000",Indoor & Outdoor,26,"-37.8049, 144.94957",8 Errol Street NORTH MELBOURNE VIC 3051,354,103526,103526,North Melbourne
Cafes and Restaurants,-37.79863,144.95634,Hudsons Coffee Melbourne Private,Cafe RMH Private Hospital 1F Royal Parade PARKVILLE VIC 3050,Indoor & Outdoor,20,"-37.80497, 144.95015",478-484 Victoria Street NORTH MELBOURNE VIC 3051,354,109794,109794,North Melbourne
Cafes and Restaurants,-37.81591,144.96418,Hudsons Elizabeth Street,84-86 Elizabeth Street MELBOURNE VIC 3000,Indoor & Outdoor,31,"-37.8041, 144.9537",123-129 Howard Street NORTH MELBOURNE VIC 3051,356,105025,105025,North Melbourne
Cafes and Restaurants,-37.83063,144.96747,Human Beans,147 Dodds Street SOUTHBANK VIC 3006,Indoor,28,"-37.8041, 144.9537",123-129 Howard Street NORTH MELBOURNE VIC 3051,356,105025,105025,North Melbourne
Cafes and Restaurants,-37.83002,144.96957,Humbaba,20 Dorcas Street SOUTHBANK VIC 3006,Indoor & Outdoor,30,"-37.80538, 144.95434",Ramsden Apartments 352-362 Victoria Street NORTH MELBOURNE VIC 3051,357,109824,109824,North Melbourne
Cafes and Restaurants,-37.81286,144.94187,Humble Cafe,Part Level 6 370 Docklands Drive DOCKLANDS VIC 3008,Indoor,24,"-37.80538, 144.95434",Ramsden Apartments 352-362 Victoria Street NORTH MELBOURNE VIC 3051,357,109824,109824,North Melbourne
Cafes and Restaurants,-37.80478,144.96141,Humble Rays,Retail 1 71-79 Bouverie Street CARLTON VIC 3053,Indoor & Outdoor,12,"-37.80396, 144.95597",Sir Robert Peel Hotel 351-359 Queensberry Street NORTH MELBOURNE VIC 3051,358,107887,107887,North Melbourne
Cafes and Restaurants,-37.81841,144.95223,Hungry Jack's,"Shop 14, Level 1 650 Collins Street DOCKLANDS VIC 3008",Indoor,100,"-37.80561, 144.95549",320-322 Victoria Street NORTH MELBOURNE VIC 3051,358,109827,109827,North Melbourne
Cafes and Restaurants,-37.80691,144.94542,Hunters and Disciples,"Part Unit 39, 617-643 Spencer Street WEST MELBOURNE VIC 3003",Indoor,70,"-37.80567, 144.95861",529-541 Elizabeth Street MELBOURNE VIC 3000,362,103236,103236,North Melbourne
Takeaway Food Services,-37.81988,144.95649,Hunters' Roots,26 Katherine Place MELBOURNE VIC 3000,Indoor,10,"-37.80567, 144.95861",529-541 Elizabeth Street MELBOURNE VIC 3000,362,103236,103236,North Melbourne
Cafes and Restaurants,-37.81187,144.96946,HuTong Dumpling Bar,14-16 Market Lane MELBOURNE VIC 3000,Indoor,110,"-37.80444, 144.95815",595 Elizabeth Street MELBOURNE VIC 3000,362,103246,103246,North Melbourne
Takeaway Food Services,-37.8173,144.96279,Huxtaburger,"Tenancy 11, 1-11 Fulham Place MELBOURNE VIC 3000",Indoor & Outdoor,16,"-37.80444, 144.95815",595 Elizabeth Street MELBOURNE VIC 3000,362,103246,103246,North Melbourne
Cafes and Restaurants,-37.80161,144.96648,Hwatu,173 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,36,"-37.80435, 144.95812",599 Elizabeth Street MELBOURNE VIC 3000,362,103248,103248,North Melbourne
Takeaway Food Services,-37.81615,144.96081,I Bean,Part Ground 105 Queen Street MELBOURNE VIC 3000,Indoor,3,"-37.80419, 144.95804",605-607 Elizabeth Street MELBOURNE VIC 3000,362,103250,103250,North Melbourne
Cafes and Restaurants,-37.81542,144.95361,I Love Chicken,39 Rose Lane MELBOURNE VIC 3000,Indoor,30,"-37.80223, 144.9501",116-118 Errol Street NORTH MELBOURNE VIC 3051,369,103498,103498,North Melbourne
Cafes and Restaurants,-37.80468,144.96595,I Love Istanbul,Ground 95-97 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,42,"-37.80286, 144.95066",502 Queensberry Street NORTH MELBOURNE VIC 3051,369,108001,108001,North Melbourne
Cafes and Restaurants,-37.80444,144.95815,I Wrap Cafe,Ground 595 Elizabeth Street MELBOURNE VIC 3000,Indoor & Outdoor,6,"-37.80154, 144.95019",148-150 Errol Street NORTH MELBOURNE VIC 3051,370,103492,103492,North Melbourne
Takeaway Food Services,-37.81381,144.95102,Ichi Maki,"Shop 2, 313 Spencer Street DOCKLANDS VIC 3008",Indoor,12,"-37.80068, 144.95518",19-35 Flemington Road NORTH MELBOURNE VIC 3051,376,103811,103811,North Melbourne
Cafes and Restaurants,-37.80904,144.95957,Ichigo,"Shop 3, 155 Franklin Street MELBOURNE VIC 3000",Indoor & Outdoor,100,"-37.80032, 144.95517",37 Flemington Road NORTH MELBOURNE VIC 3051,376,103812,103812,North Melbourne
"Pubs, Taverns and Bars",-37.81068,144.96573,Idarts Hive,243 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,70,"-37.8009, 144.95303",56-58 Courtney Street NORTH MELBOURNE VIC 3051,377,102236,102236,North Melbourne
Cafes and Restaurants,-37.81214,144.93563,Igloo Cafe & St Moritz Bar,Part Ground & Pt Mezzanine 1 105 Pearl River Road DOCKLANDS VIC 3008,Indoor,80,"-37.79973, 144.95432",47-59 Flemington Road NORTH MELBOURNE VIC 3051,377,103814,103814,North Melbourne
Cafes and Restaurants,-37.81752,144.966,II Tempo Bar,16 Degraves Street MELBOURNE VIC 3000,Indoor & Outdoor,30,"-37.79973, 144.95432",47-59 Flemington Road NORTH MELBOURNE VIC 3051,377,103814,103814,North Melbourne
Cafes and Restaurants,-37.81599,144.96925,Ikkoryu Fukuoka Ramen,Basement 31 Russell Street MELBOURNE VIC 3000,Indoor,68,"-37.79937, 144.95401",65-67 Flemington Road NORTH MELBOURNE VIC 3051,377,103816,103816,North Melbourne
Cafes and Restaurants,-37.81377,144.96787,Il Bacaro Cucina E Bar,168-170 Little Collins Street MELBOURNE VIC 3000,Indoor,45,"-37.79978, 144.95317",36-38 Villiers Street NORTH MELBOURNE VIC 3051,377,109865,109865,North Melbourne
Cafes and Restaurants,-37.80444,144.9667,Il Dolce Freddo,Ground 116 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,22,"-37.79856, 144.95286",91-95 Flemington Road NORTH MELBOURNE VIC 3051,378,103822,103822,North Melbourne
Cafes and Restaurants,-37.81399,144.94494,Melbourne Bay Restaurant,"Unit 1, 198 Harbour Esplanade DOCKLANDS VIC 3008",Indoor & Outdoor,42,"-37.79502, 144.9414",11-41 Melrose Street NORTH MELBOURNE VIC 3051,2392,617402,617402,North Melbourne
Cafes and Restaurants,-37.82543,144.95232,Melbourne Cellar Door,Shop TG08 20 Convention Centre Place SOUTH WHARF VIC 3006,Indoor & Outdoor,204,"-37.79502, 144.9414",11-41 Melrose Street NORTH MELBOURNE VIC 3051,2392,617402,617402,North Melbourne
"Pubs, Taverns and Bars",-37.8109,144.96284,Melbourne Central Lion Hotel,"Shop 303, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Indoor,200,"-37.79502, 144.9414",11-41 Melrose Street NORTH MELBOURNE VIC 3051,2392,617402,617402,North Melbourne
Cafes and Restaurants,-37.82163,144.944,The Other Brother,"Shop G1, 839 Collins Street DOCKLANDS VIC 3008",Indoor,112,"-37.79558, 144.9382",257-259 Macaulay Road NORTH MELBOURNE VIC 3051,309,106299,106299,North Melbourne
Cafes and Restaurants,-37.8109,144.96284,The Pancake Parlour,"Shop 319, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Indoor,160,"-37.79558, 144.9382",257-259 Macaulay Road NORTH MELBOURNE VIC 3051,309,106299,106299,North Melbourne
Cafes and Restaurants,-37.81329,144.938,The Pink Rabbit,Level 1 1 Star Circus DOCKLANDS VIC 3008,Indoor,50,"-37.79723, 144.93766",19 Reynolds Street NORTH MELBOURNE VIC 3051,312,108271,108271,North Melbourne
Cafes and Restaurants,-37.79677,144.96121,The Potter Espresso Bar,Part Ground Ian Potter Museum of Art Building 136 230 Grattan Street PARKVILLE VIC 3010,Indoor & Outdoor,18,"-37.79823, 144.9467",38-48 Haines Street NORTH MELBOURNE VIC 3051,326,104588,104588,North Melbourne
Cafes and Restaurants,-37.79426,144.93018,The Premises Espresso,202 Bellair Street KENSINGTON VIC 3031,Indoor & Outdoor,12,"-37.80257, 144.94754",594 Queensberry Street NORTH MELBOURNE VIC 3051,333,107981,107981,North Melbourne
"Pubs, Taverns and Bars",-37.80046,144.96221,The Prince Alfred Rooftop and Bar,Prince Alfred Hotel 191-197 Grattan Street CARLTON VIC 3053,Indoor,120,"-37.80227, 144.94446",688 Queensberry Street NORTH MELBOURNE VIC 3051,335,107955,107955,North Melbourne
Cafes and Restaurants,-37.8171,144.96548,The Quarter,27-31 Degraves Street MELBOURNE VIC 3000,Indoor & Outdoor,28,"-37.80488, 144.94898",1-5 Errol Street NORTH MELBOURNE VIC 3051,345,103392,103392,North Melbourne
Cafes and Restaurants,-37.80421,144.96203,The Queensberry Pour House,210 Queensberry Street CARLTON VIC 3053,Indoor & Outdoor,26,"-37.8047, 144.94903",11 Errol Street NORTH MELBOURNE VIC 3051,345,103395,103395,North Melbourne
"Pubs, Taverns and Bars",-37.78861,144.93237,The Quiet Man Irish Pub,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Indoor & Outdoor,81,"-37.80391, 144.94907",47 Errol Street NORTH MELBOURNE VIC 3051,345,103407,103407,North Melbourne
Cafes and Restaurants,-37.80068,144.95518,The Rice Cooker,27 Flemington Road NORTH MELBOURNE VIC 3051,Indoor & Outdoor,50,"-37.8036, 144.94921",63 Errol Street NORTH MELBOURNE VIC 3051,345,103413,103413,North Melbourne
"Pubs, Taverns and Bars",-37.81687,144.95523,The Royal Melbourne Hotel,621-633 Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,72,"-37.80246, 144.94946",103-107 Errol Street NORTH MELBOURNE VIC 3051,346,103426,103426,North Melbourne
Cafes and Restaurants,-37.81345,144.96383,The Salon,Part Level 1 314-336 Bourke Street MELBOURNE VIC 3000,Indoor,54,"-37.80483, 144.94957",10-14 Errol Street NORTH MELBOURNE VIC 3051,354,103525,103525,North Melbourne
Cafes and Restaurants,-37.80898,144.94877,The Secret Recipe,495-497 Spencer Street WEST MELBOURNE VIC 3003,Indoor,26,"-37.8049, 144.94957",8 Errol Street NORTH MELBOURNE VIC 3051,354,103526,103526,North Melbourne
Cafes and Restaurants,-37.79751,144.96871,The Shaw Davey Slum,171-175 Elgin Street CARLTON VIC 3053,Indoor & Outdoor,20,"-37.80497, 144.94955",502-506 Victoria Street NORTH MELBOURNE VIC 3051,354,109789,109789,North Melbourne
"Pubs, Taverns and Bars",-37.81747,144.96087,The Sherlock Holmes Inn,Gnd & Bmt 417 Collins Street MELBOURNE VIC 3000,Indoor,150,"-37.80492, 144.94968",500 Victoria Street NORTH MELBOURNE VIC 3051,354,109790,109790,North Melbourne
Takeaway Food Services,-37.79978,144.95317,The Smith Cafe,Part 38 Villiers Street NORTH MELBOURNE VIC 3051,Indoor,6,"-37.80492, 144.94968",500 Victoria Street NORTH MELBOURNE VIC 3051,354,109790,109790,North Melbourne
Takeaway Food Services,-37.8166,144.9656,The Soup Place,14 Centre Place MELBOURNE VIC 3000,Indoor & Outdoor,16,"-37.80494, 144.94982",492-496 Victoria Street NORTH MELBOURNE VIC 3051,354,109792,109792,North Melbourne
Cafes and Restaurants,-37.81524,144.93958,The Sri Lounge,Ground 116 Newquay Promenade DOCKLANDS VIC 3008,Indoor & Outdoor,80,"-37.80423, 144.95367",119-121 Howard Street NORTH MELBOURNE VIC 3051,356,105024,105024,North Melbourne
Cafes and Restaurants,-37.81279,144.96561,The Tasty Spicy Hot Pot,212 Swanston Street MELBOURNE VIC 3000,Indoor,32,"-37.80542, 144.95396",370-372 Victoria Street NORTH MELBOURNE VIC 3051,357,109821,109821,North Melbourne
Cafes and Restaurants,-37.82274,144.96863,The Tea Room,Part Level 1 180 St Kilda Road SOUTHBANK VIC 3006,Indoor,80,"-37.80543, 144.95405",368 Victoria Street NORTH MELBOURNE VIC 3051,357,109822,109822,North Melbourne
Cafes and Restaurants,-37.8078,144.96806,The Terrace on Exhibition,"Shop 2, Ground 333 Exhibition Street MELBOURNE VIC 3000",Indoor & Outdoor,15,"-37.80544, 144.95413",364-366 Victoria Street NORTH MELBOURNE VIC 3051,357,109823,109823,North Melbourne
"Pubs, Taverns and Bars",-37.81639,144.98825,The Tippler & Co,58 Wellington Parade EAST MELBOURNE VIC 3002,Indoor,100,"-37.80444, 144.95666",140-164 Peel Street NORTH MELBOURNE VIC 3051,359,107528,107528,North Melbourne
Cafes and Restaurants,-37.81865,144.96042,The Trust,405-411 Flinders Lane MELBOURNE VIC 3000,Indoor,450,"-37.8056, 144.95692",1-3 Cobden Street NORTH MELBOURNE VIC 3051,360,102034,102034,North Melbourne
"Pubs, Taverns and Bars",-37.8155,144.96053,The Turf Bar & Restaurant,"Unit 1, LwrGround 131 Queen Street MELBOURNE VIC 3000",Indoor,60,"-37.8058, 144.95739",268-276 Victoria Street NORTH MELBOURNE VIC 3051,361,109837,109837,North Melbourne
Cafes and Restaurants,-37.79769,144.96838,The Vertue of the Coffee Drink,8 Raffa Place CARLTON VIC 3053,Indoor & Outdoor,80,"-37.80584, 144.95772",260 Victoria Street NORTH MELBOURNE VIC 3051,361,109839,109839,North Melbourne
Cafes and Restaurants,-37.80826,144.96269,The Vine Coffee Roasters,"Tenancy 11, Level 2 435-457 Swanston Street MELBOURNE VIC 3000",Indoor,40,"-37.80591, 144.95812",Central Club Hotel 240-248 Victoria Street NORTH MELBOURNE VIC 3051,361,109842,109842,North Melbourne
Cafes and Restaurants,-37.81305,144.96069,The Wanderer,"Tenancy 4, 399 Lonsdale Street MELBOURNE VIC 3000",Indoor,150,"-37.80461, 144.95812",587-589 Elizabeth Street MELBOURNE VIC 3000,362,103244,103244,North Melbourne
"Pubs, Taverns and Bars",-37.82258,144.95378,The Wharf Hotel,"Shop 17, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008",Indoor & Outdoor,139,"-37.80435, 144.95812",599 Elizabeth Street MELBOURNE VIC 3000,362,103248,103248,North Melbourne
Cafes and Restaurants,-37.81299,144.9555,The Workers Food Room,472 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,38,"-37.80305, 144.9545",YHA Melbourne Metro 76-86 Howard Street NORTH MELBOURNE VIC 3051,366,105028,105028,North Melbourne
Cafes and Restaurants,-37.82288,144.95248,Them Authentic Vietnamese Cuisine & Rolls,"Part Unit 13, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Indoor & Outdoor,18,"-37.80068, 144.95518",19-35 Flemington Road NORTH MELBOURNE VIC 3051,376,103811,103811,North Melbourne
Cafes and Restaurants,-37.81538,144.96489,Think Asia,"Shop 207, Level 2 260 Collins Street MELBOURNE VIC 3000",Indoor,83,"-37.80068, 144.95518",19-35 Flemington Road NORTH MELBOURNE VIC 3051,376,103811,103811,North Melbourne
Cafes and Restaurants,-37.80019,144.95667,Think Asia VCCC,323 Grattan Street MELBOURNE VIC 3000,Indoor,44,"-37.80068, 144.95518",19-35 Flemington Road NORTH MELBOURNE VIC 3051,376,103811,103811,North Melbourne
"Pubs, Taverns and Bars",-37.8054,144.94947,Three Crowns Hotel,361-365 Victoria Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,96,"-37.8009, 144.95303",56-58 Courtney Street NORTH MELBOURNE VIC 3051,377,102236,102236,North Melbourne
Cafes and Restaurants,-37.81584,144.96633,Three Drops Espresso,"Shop 6, Ground 227 Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,25,"-37.79973, 144.95432",47-59 Flemington Road NORTH MELBOURNE VIC 3051,377,103814,103814,North Melbourne
Cafes and Restaurants,-37.79356,144.94671,Thyme Square Cafe,Part Ground 243-251 Flemington Road NORTH MELBOURNE VIC 3051,Indoor,58,"-37.79937, 144.95401",65-67 Flemington Road NORTH MELBOURNE VIC 3051,377,103816,103816,North Melbourne
Cafes and Restaurants,-37.82316,144.95833,Tia To Vietnamese Restaurant,"Shop 83, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Indoor,112,"-37.79937, 144.95401",65-67 Flemington Road NORTH MELBOURNE VIC 3051,377,103816,103816,North Melbourne
Cafes and Restaurants,-37.79818,144.96708,Tiamo 2,305 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,29,"-37.79844, 144.95271",George Apartments 97-103 Flemington Road NORTH MELBOURNE VIC 3051,378,103824,103824,North Melbourne
Takeaway Food Services,-37.81686,144.9663,Heart Baker Bun Mee,7 Scott Alley MELBOURNE VIC 3000,Indoor & Outdoor,3,"-37.79677, 144.96121",Ian Potter Museum of Art Building 136 230 Grattan Street PARKVILLE VIC 3010,270,620791,104468,Parkville
Cafes and Restaurants,-37.79764,144.96715,Heartattack and Vine,329 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,16,"-37.79677, 144.96121",Kenneth Myer Building 144 30 Royal Parade PARKVILLE VIC 3010,270,636694,104468,Parkville
"Pubs, Taverns and Bars",-37.81098,144.96764,Heartbreaker,234A Russell Street MELBOURNE VIC 3000,Indoor,100,"-37.79677, 144.96121",Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,270,664626,104468,Parkville
Takeaway Food Services,-37.81793,144.96455,Hella Good,7 Elizabeth Street MELBOURNE VIC 3000,Indoor,7,"-37.79677, 144.96121",Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,270,664626,104468,Parkville
Cafes and Restaurants,-37.8062,144.95558,Hello Jose,Ground 85 Peel Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,30,"-37.79677, 144.96121",Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,270,664626,104468,Parkville
"Pubs, Taverns and Bars",-37.8166,144.9656,HellÕs Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,Indoor,55,"-37.79677, 144.96121",Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,270,664626,104468,Parkville
Cafes and Restaurants,-37.78227,144.91512,Hem 27,"Shop 27, 320-380 Epsom Road FLEMINGTON VIC 3031",Indoor & Outdoor,40,"-37.79677, 144.96121",Union House Building 130 230 Grattan Street PARKVILLE VIC 3010,270,664626,104468,Parkville
Cafes and Restaurants,-37.81756,144.95748,Henry and the Fox,"Shop 10-12, 500 Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,100,"-37.79677, 144.96121",Baillieu Library Building 177 230 Grattan Street PARKVILLE VIC 3010,270,664631,104468,Parkville
Takeaway Food Services,-37.81558,144.9633,Heresy Coffee,26 Equitable Place MELBOURNE VIC 3000,Indoor & Outdoor,4,"-37.79677, 144.96121",Baillieu Library Building 177 230 Grattan Street PARKVILLE VIC 3010,270,664631,104468,Parkville
Cafes and Restaurants,-37.81181,144.96637,Heyday Hong Kong Cafe,16 Celestial Avenue MELBOURNE VIC 3000,Indoor,16,"-37.79677, 144.96121",David Caro Physics South Building 192 230 Grattan Street PARKVILLE VIC 3010,270,664633,104468,Parkville
Cafes and Restaurants,-37.80634,144.9654,Hi Chong Qing Cafe & Noodle Bar,Part Ground 22 Orr Street CARLTON VIC 3053,Indoor & Outdoor,8,"-37.79677, 144.96121",John Medley Building 191 230 Grattan Street PARKVILLE VIC 3010,270,664635,104468,Parkville
Takeaway Food Services,-37.81392,144.95973,Little Avenue des Italians,Part Ground 428 Little Bourke Street MELBOURNE VIC 3000,Indoor,12,"-37.79525, 144.95567",52 Morrah Street PARKVILLE VIC 3052,913,106772,106772,Parkville
Cafes and Restaurants,-37.80822,144.96459,Little Bang Espresso,Part  Level 2 Building 12 RMIT University 394-412 Swanston Street MELBOURNE VIC 3000,Indoor,26,"-37.80019, 144.95667",Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,919,103256,103256,Parkville
Takeaway Food Services,-37.8173,144.96279,Little Bean Bambini,"Tenancy 9, 332-340 Flinders Lane MELBOURNE VIC 3000",Indoor,8,"-37.79863, 144.95634",Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,920,104437,104437,Parkville
Cafes and Restaurants,-37.82094,144.94454,Little Bean Dockside,"Tenancy 9, Ground 850 Collins Street DOCKLANDS VIC 3008",Indoor,75,"-37.79863, 144.95634",Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,920,104437,104437,Parkville
